,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
418,Lookout Mountain Lookout - Methow,North Cascades,Methow/Sawtooth,5,4.20,2.6,roundtrip,1100,5518,None,48.3201,-120.1599,Lookout Mountain (#412),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,50,1,1,0,0,0,0,0,0,0,0,1,0,0,0
419,Libby Lake,North Cascades,Methow/Sawtooth,8,3.38,11.0,roundtrip,3320,7618,Northwest Forest Pass,48.2759,-120.2900,Libby Lake (#415),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,26,0,1,0,0,0,0,1,1,0,0,0,1,0,0
420,Wolf Creek,North Cascades,Methow/Sawtooth,6,3.00,21.0,roundtrip,4270,5738,None,48.4841,-120.2992,Wolf Creek (#527),"Okanogan-Wenatchee National Forest, Chelan Ranger District",WTA Correspondents,Paul Kriloff,33,1,1,0,1,0,0,0,0,1,1,0,0,0,0
421,Little Mashel Falls - Pack Forest,Puget Sound and Islands,Seattle-Tacoma Area,18,4.06,5.0,roundtrip,500,1100,None,46.8432,-122.3176,University of Washington School of Environmental and Forest Sciences,,WTA Correspondents,Ken Giesbers,148,0,0,0,0,1,0,0,0,1,1,0,0,1,0
422,Stegosaurus Butte,Snoqualmie Region,North Bend Area,3,2.67,2.2,roundtrip,1040,2160,Northwest Forest Pass,47.5475,-121.5410,"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,WTA Correspondents,Shannon Leader,35,0,1,0,0,0,0,0,1,0,0,1,0,1,0
423,Mine Road Trail,North Cascades,Mountain Loop Highway,10,3.80,4.0,roundtrip,650,,None,48.2617,-121.6788,Darrington Ranger District,,,,63,0,1,1,0,0,1,1,0,0,0,0,0,1,0
424,South Fork Hoh River - Big Flat,Olympic Peninsula,Pacific Coast,8,2.62,7.0,roundtrip,150,850,Discover Pass,47.7993,-123.9545,South Fork Hoh River (#19),Washington Department of Natural Resources and Olympic National Park,WTA Correspondents,Wes Partch,30,0,1,0,1,0,1,1,0,1,1,0,0,1,0
425,Cougar Trails,Southwest Washington,Vancouver Area,0,0.00,6.0,of,308,240,None,45.7321,-122.6324,Washington State University,,WTA Correspondents,Luis Osorio,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0
426,Narada Falls to Reflection Lakes,Mount Rainier Area,SW - Longmire/Paradise,12,3.25,5.0,roundtrip,1150,5400,National Park Pass,46.7753,-121.7466,Mount Rainier National Park,,WTA Correspondents,Ken Giesbers,103,1,1,0,0,1,1,0,0,1,1,0,1,1,0
427,Goat Mountain,North Cascades,Mount Baker Area,17,4.06,11.0,roundtrip,4100,6650,Northwest Forest Pass,48.8977,-121.6455,Goat Mountain (#673),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",,,162,1,1,1,0,0,0,0,1,0,1,1,0,0,0
428,Horseshoe Basin,North Cascades,Pasayten,12,3.50,12.0,roundtrip,1550,7200,Northwest Forest Pass,48.9086,-119.9041,Boundary Trail (#533),"Okanogan-Wenatchee National Forest, Tonasket Ranger District",WTA Staff,Andrea Imler,102,1,1,1,1,0,0,0,1,1,0,0,0,0,0
429,Boundary Trail - Pasayten,North Cascades,Pasayten,4,3.25,80.0,one-way,9000,7800,Northwest Forest Pass,48.8848,-119.8667,Boundary Trail (#533),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Charles Hickenbottom,60,0,1,1,0,0,0,0,1,0,0,1,1,1,0
430,Devils Dome Loop,North Cascades,North Cascades Highway - Hwy 20,7,3.86,43.0,roundtrip,,6980,Northwest Forest Pass,48.7065,-120.9185,"East Bank (#), Jackita Ridge (#738), Devil's Ridge (#752), Ruby Creek Trail (#736)","Okanogan-Wenatchee National Forest, Methow Valley Ranger District and Ross Lake National Recreation Area",WTA Community,Multiple authors contributed to this report,41,0,1,0,0,1,0,0,1,0,0,1,0,0,0
431,CCC Road: Blowout Creek Trailhead,Snoqualmie Region,North Bend Area,4,2.25,7.0,roundtrip,620,1520,Northwest Forest Pass,47.5159,-121.6134,CCC Truck Road (#),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Staff,Anna Roth,63,0,1,1,0,1,0,0,0,0,1,0,0,1,0
432,Stehekin to Rainy Pass,North Cascades,North Cascades Highway - Hwy 20,0,0.00,18.7,one-way,3600,4900,National Park Pass,,,"North Cascades National Park, Okanogan-Wenatchee National Forest, Lake Chelan National Recreation Area",,WTA Correspondents,McKenzie Carlson,6,0,1,0,1,0,0,1,1,1,1,0,1,1,0
433,Turtleback Mountain,Puget Sound and Islands,Orcas Island,9,3.89,3.0,roundtrip,830,930,None,48.6410,-122.9775,San Juan County Land Bank,,WTA Community,Multiple authors contributed to this report,33,0,1,1,0,0,0,0,0,0,0,0,0,0,1
434,Cable Line Trail,Issaquah Alps,Tiger Mountain,15,3.67,3.0,roundtrip,2022,2522,Discover Pass,47.5296,-121.9844,Tiger Mountain State Forest,,,,172,0,0,1,0,0,0,0,0,0,0,0,0,0,0
435,Jefferson Ridge,Olympic Peninsula,Hood Canal,6,3.50,4.8,roundtrip,1832,3832,None,47.5712,-123.1315,Jefferson Ridge (#808),"Olympic National Forest, Quilcene Ranger District",,,43,0,1,1,0,0,1,0,0,0,0,0,0,1,0
436,Elk Lakes,Olympic Peninsula,Hood Canal,5,2.40,4.9,roundtrip,400,1200,Northwest Forest Pass,47.5793,-123.1204,Elk Lake (#805),"Olympic National Forest, Hood Canal Ranger District, Quilcene",,,36,1,0,0,0,0,1,0,0,1,1,0,1,0,0
437,Lanham Lake,Central Cascades,Stevens Pass - East,5,2.60,3.2,roundtrip,1140,4140,Northwest Forest Pass,47.7716,-121.0136,Lanham Lake (#1589),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Community,Multiple authors contributed to this report,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0
438,Frosty - Wildhorse Creek,Central Cascades,Stevens Pass - East,4,3.75,,,,,Northwest Forest Pass,,,"Wildhorse Creek (#1592), Whitepine Creek (#1582)","Okanogan-Wenatchee National Forest, Wenatchee Range District",,,68,1,1,0,1,0,0,1,1,1,1,1,1,1,0
439,Pacific Crest Trail (PCT) Section H - Bridge of the Gods to White Pass,Southwest Washington,Columbia River Gorge - WA,4,3.75,147.5,one-way,27996,7800,,45.6610,-121.9063,Pacific Crest Trail Section H - Bridge of Gods to White Pass (#2000),"Columbia River Gorge National Scenic Area, Gifford Pinchot National Forest",WTA Community,Multiple authors contributed to this report,56,1,1,1,1,1,0,1,1,1,1,1,1,1,0
440,Thornton Lakes and Trappers Peak,North Cascades,North Cascades Highway - Hwy 20,21,4.43,10.2,roundtrip,2900,5000,None,48.6537,-121.3242,North Cascades National Park,,WTA Staff,Erik Haugen-Goodman,136,0,1,0,0,0,0,0,0,0,0,1,1,0,0
441,Mount Margaret,South Cascades,Mount St. Helens,4,4.50,11.0,roundtrip,2820,5780,Northwest Forest Pass,46.3049,-122.0825,Boundary Trail (#1),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Correspondents,Ken Giesbers,52,1,1,0,1,0,0,0,1,0,0,1,0,0,0
442,Hannegan Pass and Peak,North Cascades,Mount Baker Area,17,4.24,10.4,roundtrip,3100,6200,Northwest Forest Pass,48.9101,-121.5927,"Hannegan Pass (#674), Hannegan Peak (#674.1)","Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Staff,Anna Roth,317,0,1,1,1,0,0,0,1,1,0,1,0,0,0
443,Skyline Divide,North Cascades,Mount Baker Area,46,4.52,9.0,roundtrip,2500,6563,Northwest Forest Pass,48.8809,-121.8646,Skyline Divide (#678),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Maxwell Krem,358,1,1,1,0,0,0,0,1,0,0,0,0,0,0
444,Eldorado Peak,North Cascades,North Cascades Highway - Hwy 20,2,5.00,10.0,roundtrip,6716,8876,Northwest Forest Pass,48.5136,-121.1964,,,,,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
445,Klahhane Ridge,Olympic Peninsula,Northern Coast,16,4.50,5.0,roundtrip,1700,6050,National Park Pass,47.9871,-123.4609,Hurricane Ridge Trail (#),"Olymic National Park, Wilderness Information Center",WTA Correspondents,Lindsay Leffelman,129,1,1,0,0,0,0,0,1,1,0,1,0,0,0
446,Goat Lake,North Cascades,Mountain Loop Highway,89,4.18,10.4,roundtrip,1400,3161,Northwest Forest Pass,48.0537,-121.4113,"Elliot Creek (#647), Old Elliot Creek Road (#647.1)","Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Mike Scavezze,637,0,0,1,1,1,1,0,0,0,1,0,1,1,0
447,Trail of Two Forests,South Cascades,Mount St. Helens,6,3.33,0.5,roundtrip,50,1885,,46.0993,-122.2136,Trail of Two Forests (#233),Mount St. Helens National Volcanic Monument,WTA Community,Multiple authors contributed to this report,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0
448,Eagle's Nest,South Cascades,,1,2.00,,,,,Discover Pass,46.5062,-121.0425,Ahtanum,,,,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0
449,Lower Big Quilcene River,Olympic Peninsula,Hood Canal,8,3.62,10.2,roundtrip,800,2000,Northwest Forest Pass,47.7835,-122.9651,Lower Big Quilcene River (#833),"Olympic National Forest, Hood Canal Ranger District, Quilcene",,,147,1,0,0,1,0,0,0,0,0,1,0,0,1,0
450,Monogram Lake,North Cascades,North Cascades Highway - Hwy 20,7,3.86,9.8,roundtrip,4675,5719,None,48.5370,-121.2940,"Lookout Mountain (#743), Monogram Lake (#743.1)","Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Lindsay Leffelman,50,1,1,0,0,0,0,0,1,0,0,1,1,0,0
451,Bearhead Mountain,Mount Rainier Area,NW - Carbon River/Mowich,13,3.69,6.0,roundtrip,1800,6089,Northwest Forest Pass,47.0314,-121.8257,Bearhead (#1179.1),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Lace Thornberg,132,1,1,1,0,0,0,0,1,0,1,1,0,0,0
452,Del Campo Peak,North Cascades,Mountain Loop Highway,4,5.00,11.0,roundtrip,4200,6610,Northwest Forest Pass,48.0265,-121.4440,,,,,34,0,1,0,0,0,0,0,0,0,0,1,1,0,0
453,Skyscraper Pass,Mount Rainier Area,NE - Sunrise/White River,4,3.75,6.8,roundtrip,1700,7079,National Park Pass,46.9146,-121.6423,Mount Rainier National Park,,WTA Correspondents,Ken Giesbers,63,0,1,0,0,0,0,0,1,0,0,0,0,0,0
454,Wilson Creek,Snoqualmie Region,Cle Elum Area,5,3.20,5.6,roundtrip,220,5860,None,47.2289,-120.5703,Wilson Creek (#1387),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0
455,Hog Canyon Lake,Eastern Washington,Spokane Area/Coeur d'Alene,5,3.80,5.4,roundtrip,670,2200,None,47.3610,-117.8290,"BLM Spokane District, (509) 536-1200, www.blm.gov/or/districts/spokane",,,,26,1,0,0,0,0,0,0,0,1,0,0,1,0,0
456,Dewey Lake,Mount Rainier Area,Chinook Pass - Hwy 410,22,3.82,6.0,roundtrip,600,5900,Northwest Forest Pass,46.8694,-121.5197,"Pacific Crest Trail (#2000), Dewey Lakes (#968)","Okanogan-Wenatchee National Forest, Naches Ranger District",WTA Correspondents,Rolan Shomber,157,1,1,1,1,0,1,0,0,0,0,0,1,0,0
457,Tunnel Creek,Central Cascades,Stevens Pass - West,6,3.67,1.6,one-way,1300,4400,None,47.7094,-121.1065,Tunnel Creek (#1061),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",,,67,1,0,1,0,1,0,0,0,0,0,0,1,0,0
458,Source Lake,Snoqualmie Region,Snoqualmie Pass,10,3.90,6.0,roundtrip,700,3800,Northwest Forest Pass,47.4454,-121.4230,Source Lake (#1013.2),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District, North Bend Office",WTA Community,Multiple authors contributed to this report,129,0,1,0,0,0,0,0,0,0,0,0,1,1,0
459,Boulder Garden Loop,Snoqualmie Region,North Bend Area,8,3.88,2.5,roundtrip,800,1400,Discover Pass,47.4874,-121.7556,Washington Department of Natural Resources,,WTA Correspondents,Maxwell Krem,132,0,0,1,0,0,1,0,0,1,0,0,0,0,0
460,Boundary West,South Cascades,Mount St. Helens,9,3.33,10.0,roundtrip,2400,4390,Northwest Forest Pass,46.2869,-122.2717,Boundary (#1),Mount St. Helens National Volcanic Monument,WTA Community,Multiple authors contributed to this report,81,0,1,0,0,0,1,0,1,1,0,0,1,0,0
461,Mount Angeles,Olympic Peninsula,Northern Coast,8,3.62,6.25,roundtrip,1254,6454,National Park Pass,47.9838,-123.4525,Olympic National Park,,WTA Staff,Anna Roth,37,1,1,0,0,0,0,0,1,0,0,1,0,0,1
462,Lime Kiln Trail,North Cascades,Mountain Loop Highway,59,3.64,7.0,roundtrip,625,750,None,48.0774,-121.9325,Snohomish County Parks,,WTA Correspondents,Alan Gibbs,544,0,0,1,0,0,1,1,0,0,1,0,0,1,0
463,Union Creek,Mount Rainier Area,Chinook Pass - Hwy 410,8,3.00,4.0,roundtrip,850,4000,Northwest Forest Pass,46.9332,-121.3597,Union Creek (#956),"Okanogan-Wenatchee National Forest, Naches Ranger District",WTA Correspondents,Ken Giesbers,43,0,0,1,0,1,0,0,0,0,1,0,0,1,0
464,Scatter Lake,North Cascades,Methow/Sawtooth,5,4.00,8.5,roundtrip,3850,7047,Northwest Forest Pass,48.4348,-120.5201,Scatter Lake (#427),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Community,Karen Daubert,29,0,1,1,0,0,0,1,1,0,0,1,1,0,0
465,Slate Creek,North Cascades,Methow/Sawtooth,4,2.50,6.0,roundtrip,3700,6600,Northwest Forest Pass,48.3957,-120.4502,Slate Creek Trail - Abernathy Ridge (#414),Okanogan National Forest,,,11,1,1,1,0,0,0,0,1,1,0,0,0,0,0
466,West Fork Buttermilk,North Cascades,Methow/Sawtooth,4,3.25,19.0,roundtrip,,7480,Northwest Forest Pass,48.3111,-120.3368,West Fork Buttermilk (#411),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,12,0,1,1,1,0,0,1,0,0,0,0,0,1,0
467,Oval Peak,North Cascades,Methow/Sawtooth,4,4.00,8795,,,8795,,48.3115,-120.3362,Oval Peak (#436),,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Williams Creek,North Cascades,Methow/Sawtooth,4,3.75,13.8,roundtrip,3600,6500,Northwest Forest Pass,48.3972,-120.4672,Williams Creek (#407),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Rolan Shomber,10,1,0,0,1,0,0,1,0,0,0,0,1,0,0
469,Louis Lake,North Cascades,Methow/Sawtooth,10,3.40,10.5,roundtrip,2300,5351,Northwest Forest Pass,48.4395,-120.5312,Louis Lake (#428),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,25,1,1,0,1,0,0,0,0,0,1,0,1,0,0
470,Reynolds Creek,North Cascades,,5,3.00,,,,,None,48.4056,-120.4897,Reynolds Creek (#402),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Pete's Creek - Colonel Bob Peak,Olympic Peninsula,Pacific Coast,22,4.59,8.2,roundtrip,3500,4510,Northwest Forest Pass,47.4572,-123.7318,"Pete's Creek (#858), Colonel Bob (#851)","Olympic National Forest, Pacific Ranger District",WTA Community,Multiple authors contributed to this report,103,0,1,1,0,0,0,0,0,0,1,1,0,1,0
472,Artist Point Snowshoe,North Cascades,Mount Baker Area,13,4.38,4.0,roundtrip,1000,5100,None,48.8467,-121.6910,"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",,WTA Correspondents,Martin Bravenboer,223,0,1,1,0,0,1,0,1,0,0,0,0,0,0
473,Spruce Railroad Trail,Olympic Peninsula,Northern Coast,27,3.93,8.0,roundtrip,250,700,None,48.0933,-123.8025,Spruce Railroad (#44),Olympic National Park,WTA Staff,Anna Roth,114,0,1,1,0,0,1,0,0,0,0,0,1,0,0
474,Dusty Lake,Central Washington,Potholes Region,0,0.00,6.0,roundtrip,350,1000,,,,Washington Department of Fish and Wildlife,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
475,Quincy Lakes,Central Washington,Potholes Region,8,3.75,6.0,roundtrip,350,1000,Discover Pass,47.1604,-119.9808,"Ancient Lake (#), Dusty Lake (#)","Washington Department of Fish and Wildlife, Columbia Basin Wildlife Area, Moses Lake, 509-765-6641, http://wdfw.wa.gov/lands/wildlife_areas",,,71,1,0,1,0,0,0,0,0,1,0,0,1,0,0
476,Blue Lake,South Cascades,Dark Divide,1,3.00,5.2,roundtrip,,5200,None,46.2303,-121.8654,Blue Lake Hiker (#3A),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Staff,Anna Roth,2,1,1,1,0,0,1,1,0,0,0,0,1,0,0
477,Lewis River Falls,Southwest Washington,Lewis River Region,11,4.18,8.8,roundtrip,450,1300,Northwest Forest Pass,46.1022,-121.9065,Lewis River (#31),"Gifford Pinchot National Forest, Mount Adams Ranger District",WTA Community,Multiple authors contributed to this report,93,0,0,1,0,0,1,0,0,0,0,0,0,1,0
478,Curly Creek Falls,Southwest Washington,Lewis River Region,5,3.60,0.4,roundtrip,,1285,Northwest Forest Pass,46.0603,-121.9707,Curly Creek Falls (#31),"Gifford Pinchot National Forest, Mount St. Helens National Volcanic Monument and Surrounding Area Headquarters",,,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0
479,Shoe Lake,South Cascades,Goat Rocks,7,3.86,15.7,roundtrip,2500,6600,Northwest Forest Pass,46.6431,-121.3792,Shoe Lake (#1119),"Gifford-Pinchot National Forest, Cowlitz Valley Ranger District",WTA Staff,Anna Roth,48,1,1,1,0,0,0,0,1,1,0,0,1,0,0
480,Round Mountain,South Cascades,Goat Rocks,9,4.00,5.2,roundtrip,1700,5970,None,46.6344,-121.3033,Round Mountain (#1144),"Okanogan-Wentachee National Forest, Naches Ranger District",WTA Staff,Anna Roth,47,1,1,1,0,0,0,0,0,1,0,1,0,0,0
481,Tieton Meadows,South Cascades,Goat Rocks,5,3.40,9.8,roundtrip,2900,3600,None,46.5768,-121.3584,Tieton Meadows (#1128),"Okanogan-Wentachee National Forest, Naches Ranger District",,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
482,North Fork Tieton to Tieton Pass,South Cascades,Goat Rocks,5,2.20,10.0,roundtrip,2500,1600,None,46.5768,-121.3582,North Fork Tieton River (#1118),"Okanogan-Wentachee National Forest, Naches Ranger District",WTA Staff,Anna Roth,29,1,1,1,0,0,0,0,0,1,0,0,0,1,0
483,Hidden Springs,South Cascades,Goat Rocks,4,3.00,1.7,one-way,1900,5500,None,46.5380,-121.3164,Hidden Springs (#1117),"Okanogan-Wentachee National Forest, Naches Ranger District",WTA Staff,Anna Roth,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0
484,Nordrum Lake,Snoqualmie Region,North Bend Area,5,2.40,19.0,roundtrip,4172,3675,Northwest Forest Pass,47.5614,-121.5322,Nordrum Lake (#1004),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,37,0,1,1,1,1,0,0,0,0,1,0,1,1,0
485,Big Creek Falls,Snoqualmie Region,North Bend Area,5,3.60,11.0,roundtrip,,,Northwest Forest Pass,47.5601,-121.5323,Snoqualmie Lake (#1002),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,32,0,0,1,0,1,1,0,0,0,1,0,0,1,0
486,Blue Lake,North Cascades,Mount Baker Area,15,4.00,1.7,roundtrip,300,3984,Northwest Forest Pass,48.6565,-121.7723,Blue Lake (#604),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Melissa Ozbek,98,1,1,1,0,0,1,1,0,1,0,0,1,0,0
487,Snoqualmie Lake,Snoqualmie Region,North Bend Area,14,3.43,18.0,roundtrip,1900,3147,Northwest Forest Pass,47.5614,-121.5321,Snoqualmie Lake (#1002),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,169,0,1,1,1,1,0,0,0,1,0,0,1,1,0
488,Happy Creek Nature Trail,North Cascades,North Cascades Highway - Hwy 20,6,3.83,2.6,roundtrip,570,2780,None,48.7274,-121.0628,Happy Creek Nature Trail (#),North Cascades National Park,WTA Correspondents,Rolan Shomber,9,0,0,0,0,1,1,0,0,0,1,0,0,1,0
489,Pyramid Lake,North Cascades,North Cascades Highway - Hwy 20,8,3.50,4.5,roundtrip,1500,2600,,48.7098,-121.1452,North Cascades National Park Visitors Center (Newhalem),,,,37,0,1,1,0,0,0,0,0,1,1,0,1,0,0
490,Marmot Pass - Upper Big Quilcene,Olympic Peninsula,Hood Canal,55,4.38,11.5,roundtrip,3489,6000,Northwest Forest Pass,47.8278,-123.0408,"Upper Big Quilcene River (#833.1), Marmot Pass (#)","Olympic National Forest, Hood Canal Ranger District",WTA Correspondents,Pam and Paul Kaperick,542,1,1,1,1,1,1,0,1,1,1,0,0,1,0
491,Verne Samuelson Trail,Olympic Peninsula,Northern Coast,4,3.00,3.0,roundtrip,,,,48.0946,-123.4556,Department of Natural Resources,,,,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0
492,Snoquera Falls Loop,Mount Rainier Area,Chinook Pass - Hwy 410,27,3.48,3.9,roundtrip,975,3100,Northwest Forest Pass,47.0328,-121.5579,Snoquera Falls (#1167),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0
493,Copper Pass,North Cascades,Methow/Sawtooth,6,3.00,10.0,roundtrip,3160,6760,Northwest Forest Pass,48.4586,-120.5675,Copper Pass (#426),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,23,1,1,1,1,0,0,0,1,1,1,0,0,1,0
494,Twisp Pass,North Cascades,Methow/Sawtooth,12,3.75,9.0,roundtrip,2460,6064,Northwest Forest Pass,48.4586,-120.5675,Twisp Pass (#432),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Austin Smith,77,1,1,1,1,0,0,1,1,0,0,0,0,1,0
495,North Lake,North Cascades,Methow/Sawtooth,5,5.00,10.6,roundtrip,2220,5840,Northwest Forest Pass,48.4533,-120.5558,North Creek (#413),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Rolan Shomber,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0
496,Eagle Peak Saddle,Mount Rainier Area,SW - Longmire/Paradise,8,3.62,7.2,roundtrip,2910,5720,National Park Pass,46.7575,-121.8057,Eagle Peak (#),"Mount Rainier National Park, Longmire Wilderness Information Center",WTA Correspondents,Dawn Hammer,114,1,1,0,0,0,0,0,1,1,1,0,0,0,0
497,North Tommy Trail,Central Cascades,,3,2.33,,,,,,47.9392,-120.5526,North Tommy Trail (#1425),"Okanogan-Wenatchee National Forest, Entiat Ranger District",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Cady Ridge,Central Cascades,Stevens Pass - East,6,3.17,14.0,roundtrip,3015,5551,Northwest Forest Pass,47.9183,-121.0874,Cady Ridge (#1532),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Rob Shurtleff,70,1,1,1,0,0,0,0,1,0,0,0,0,0,0
499,Appleton Pass,Olympic Peninsula,Northern Coast,5,3.40,15.4,roundtrip,3230,5050,National Park Pass,47.9868,-123.6519,Appleton Pass (#56),Olymic National Park,WTA Correspondents,Mason White,37,1,1,0,1,1,0,1,1,0,1,0,0,0,0
500,Lower Mad River Valley,Central Cascades,Entiat Mountains/Lake Chelan,6,3.50,14.9,one-way,2500,2000,Northwest Forest Pass,47.7589,-120.4271,Lower Mad River (#1409),"Okanogan-Wenatchee National Forest, Entiat Ranger District",WTA Community,Multiple authors contributed to this report,38,1,0,1,1,0,0,0,0,1,1,0,0,1,0
501,Bowerman Basin,Southwest Washington,Long Beach Area,1,3.00,1.3,roundtrip,,20,None,46.9728,-123.9389,Grays Harbor National Wildlife Refuge,,WTA Staff,Anna Roth,3,0,0,0,0,0,1,1,0,1,0,0,0,0,1
502,Berkeley Park,Mount Rainier Area,NE - Sunrise/White River,14,3.64,7.7,roundtrip,1700,6800,National Park Pass,46.9146,-121.6423,Mount Rainier National Park,,WTA Staff,Anna Roth,104,1,1,0,1,1,0,0,1,1,0,0,1,0,0
503,Beaver Lake Preserve,Issaquah Alps,,7,3.00,1.2,roundtrip,50,460,None,47.5974,-121.9919,City of Sammamish Parks Department,,WTA Correspondents,Alan Gibbs,18,1,0,1,0,0,1,1,0,1,1,0,0,0,0
